"English",French,"vent,test","évacuer,test", "toto suce ""ma"" bite"
English,French,spare time,temps libre
English,French,spinning,filature
English,French,to defeat,vaincre
English,French,weiner,Penis
English,French,wrestle,lutter
English,French,monsoon,mousson
English,French,blunder,gaffe
English,French,to buckle up,boucler sa ceinture
English,French,flooded,inondée
English,French,beware,méfiez-vous
English,French,roll,rouler
English,French,chop,hacher
English,French,amongst,parmi
English,French,barely,à peine
English,French,parlor,salon
English,French,darn,sacrément
English,French,neat,soignée
English,French,clumsy,maladroit
English,French,Accordingly,en conséquence
English,French,lure,attirer
English,French,somehow,en quelque sorte
English,French,shell,coquille
English,French,whereas,considérant que
English,French,tow,remorquer
English,French,thereby,ainsi
English,French,sought,recherché
English,French,in terms of,en fonction de
English,French,reap,récolter
English,French,hitched,accroché
English,French,evicted,expulsées
English,French,runt,avorton
English,French,stink,puent
English,French,heap,tas
English,French,heal,guérir
English,French,hips,hanches
English,French,fade,s'estomper
English,French,sigh,soupir
English,French,undeniable,indéniable
English,French,fierce,féroce
English,French,unforgettable,inoubliable
English,French,anyhow,de toute façon
English,French,tussle,bagarre
English,French,twitchy,nerveux
English,French,bunch,groupe
English,French,to fear,craindre
English,French,toss,lancer
English,French,merry,joyeux
English,French,lie down,se coucher
English,French,seal,sceller
English,French,ensue,s'ensuivre
English,French,lead back,ramener
English,French,payroll,la masse salariale
English,French,smooth,lisser
English,French,edge,bord
English,French,slip,glisser
English,French,selves,mêmes
English,French,prodigy,prodige
English,French,bias,partialité
English,French,meddle,mêler
English,French,fainted,s'évanouit
English,French,gladly,plaisir
English,French,priming,amorçage
English,French,doomed,condamné
English,French,cease,cesser
English,French,beg,"mendier, demander"
English,French,nether,Néant
English,French,faith,foi
English,French,trial,"essai, procès, jugement"
English,French,ought,devrait
English,French,toss,lancer
English,French,goose,oie
English,French,broom,balai
English,French,sweep,balayage
English,French,merely,simplement
English,French,lead,conduire
English,French,stride,enjambée
English,French,sorrow,douleur
English,French,wary,méfient
English,French,ominous,sinistre
English,French,tread,fouler
English,French,lapse,caduc
English,French,ungainly,disgracieux
English,French,healthful,en bonne santé
English,French,strictly,strictement
English,French,relevant,pertinente
English,French,embed,intégrer
